run,cenario,N,tempo_ms,gflops,gpu_temp_c,timestamp,observacao
15,rtx5060ti_cublas_fp32,2048,1.090144,15759.2654,42,2026-05-09T12:05:34.854171,ok
16,rtx5060ti_cublas_fp32,2048,1.069024,16070.6118,42,2026-05-09T12:05:34.874488,ok
17,rtx5060ti_cublas_fp32,2048,1.099808,15620.7897,42,2026-05-09T12:05:34.875620,ok
18,rtx5060ti_cublas_fp32,2048,1.060064,16206.4459,42,2026-05-09T12:05:34.877346,ok
19,rtx5060ti_cublas_fp32,2048,1.070976,16041.3201,42,2026-05-09T12:05:34.879042,ok
20,rtx5060ti_cublas_fp32,2048,1.064096,16145.0373,42,2026-05-09T12:05:34.880753,ok
21,rtx5060ti_cublas_fp32,2048,1.177984,14584.1278,42,2026-05-09T12:05:34.900820,ok
22,rtx5060ti_cublas_fp32,2048,1.097440,15654.4951,42,2026-05-09T12:05:34.901949,ok
23,rtx5060ti_cublas_fp32,2048,1.087200,15801.9394,42,2026-05-09T12:05:34.903062,ok
24,rtx5060ti_cublas_fp32,2048,1.088256,15786.6064,42,2026-05-09T12:05:34.904175,ok
25,rtx5060ti_cublas_fp32,2048,1.087264,15801.0107,42,2026-05-09T12:05:34.905286,ok
26,rtx5060ti_cublas_fp32,2048,1.064192,16143.5796,42,2026-05-09T12:05:34.925500,ok
27,rtx5060ti_cublas_fp32,2048,1.094048,15703.0302,42,2026-05-09T12:05:34.926623,ok
28,rtx5060ti_cublas_fp32,2048,1.061632,16182.5082,42,2026-05-09T12:05:34.927822,ok
29,rtx5060ti_cublas_fp32,2048,1.092608,15723.7267,42,2026-05-09T12:05:34.928938,ok
30,rtx5060ti_cublas_fp32,2048,1.087712,15794.5011,42,2026-05-09T12:05:34.930047,ok
1,rtx5060ti_cublas_fp32,4096,8.026240,17123.7027,49,2026-05-09T12:05:35.035551,delta_temp_alto
2,rtx5060ti_cublas_fp32,4096,8.734720,15734.7860,49,2026-05-09T12:05:35.044324,delta_temp_alto
3,rtx5060ti_cublas_fp32,4096,8.315328,16528.3870,49,2026-05-09T12:05:35.052674,delta_temp_alto
4,rtx5060ti_cublas_fp32,4096,8.928448,15393.3761,49,2026-05-09T12:05:35.062233,delta_temp_alto
5,rtx5060ti_cublas_fp32,4096,8.110720,16945.3463,49,2026-05-09T12:05:35.070500,delta_temp_alto
6,rtx5060ti_cublas_fp32,4096,8.021536,17133.7454,49,2026-05-09T12:05:35.096201,delta_temp_alto
7,rtx5060ti_cublas_fp32,4096,8.959072,15340.7576,49,2026-05-09T12:05:35.105193,delta_temp_alto
8,rtx5060ti_cublas_fp32,4096,8.145984,16871.9898,49,2026-05-09T12:05:35.113373,delta_temp_alto
9,rtx5060ti_cublas_fp32,4096,9.677440,14201.9953,49,2026-05-09T12:05:35.123072,delta_temp_alto
10,rtx5060ti_cublas_fp32,4096,8.324864,16509.4525,49,2026-05-09T12:05:35.131421,delta_temp_alto
11,rtx5060ti_cublas_fp32,4096,8.217120,16725.9272,58,2026-05-09T12:05:35.158796,delta_temp_alto
12,rtx5060ti_cublas_fp32,4096,8.784448,15645.7137,58,2026-05-09T12:05:35.167606,delta_temp_alto
13,rtx5060ti_cublas_fp32,4096,8.111616,16943.4736,58,2026-05-09T12:05:35.175832,delta_temp_alto
14,rtx5060ti_cublas_fp32,4096,9.055200,15177.9043,58,2026-05-09T12:05:35.184910,delta_temp_alto
15,rtx5060ti_cublas_fp32,4096,8.167776,16826.9737,58,2026-05-09T12:05:35.193100,delta_temp_alto
16,rtx5060ti_cublas_fp32,4096,8.023680,17129.1674,58,2026-05-09T12:05:35.219490,delta_temp_alto
17,rtx5060ti_cublas_fp32,4096,8.986816,15293.3973,58,2026-05-09T12:05:35.228509,delta_temp_alto
18,rtx5060ti_cublas_fp32,4096,8.142720,16878.7518,58,2026-05-09T12:05:35.236683,delta_temp_alto
19,rtx5060ti_cublas_fp32,4096,9.225248,14898.1305,58,2026-05-09T12:05:35.245931,delta_temp_alto
